,riding,Ave_Age_All,Ave_Age_Male,Ave_Age_Female,bike_rate,pop,NoPostsecondary_all,NoPostsecondary_male,NoPostsecondary_female,french,HouseNeed,income_all,income_male,income_female,unemploy_all,unemploy_male,unemploy_female,Constituency,Province / Territory,First Name,Last Name,Political Affiliation
309,Abbotsford--South Langley,42.4,41.1,43.6,0.6,116385,55.1,56.7,53.5,0.8,7.2,37600,44800,32800,8.1,7.2,9.3,Abbotsford—South Langley,British Columbia,Sukhman,Gill,Conservative
39,Abitibi--Baie-James--Nunavik--Eeyou,37.2,36.9,37.6,0.7,89085,55.7,55.7,55.7,60.4,2,43200,48800,38800,6.2,6.8,5.4,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,Mandy,Gull-Masty,Liberal
40,Abitibi--Témiscamingue,43.1,42.6,43.7,0.6,103735,45.5,45.9,45.1,94,2.3,42000,50000,35200,5.7,6.5,4.9,Abitibi—Témiscamingue,Quebec,Sébastien,Lemire,Bloc Québécois
16,Acadie--Annapolis,47.2,46.2,48.1,0.3,76200,51.7,55.4,48.1,12.6,6.2,33200,38400,29200,12.7,12.4,12.9,Acadie—Annapolis,Nova Scotia,Chris,d'Entremont,Liberal
28,Acadie--Bathurst,49.3,48.6,50,0.2,79580,54.1,55.9,52.2,81.4,2.6,34000,37600,30000,13.7,16.7,10.4,Acadie—Bathurst,New Brunswick,Serge,Cormier,Liberal
41,Ahuntsic-Cartierville,42,40.6,43.3,2.4,111510,33.9,34.1,33.7,50,3.6,37600,39200,36400,10.2,10.7,9.8,Ahuntsic-Cartierville,Quebec,Mélanie,Joly,Liberal
271,Airdrie--Cochrane,36.7,36.1,37.3,0.5,115240,40.7,41.3,40.1,1.9,4.2,50800,65000,40800,10.6,9.8,11.5,Airdrie—Cochrane,Alberta,Blake,Richards,Conservative
118,Ajax,38.6,37.6,39.5,0.3,126670,42,43.6,40.5,1.1,7.7,42400,47200,38800,13.4,12.3,14.5,Ajax,Ontario,Jennifer,McKelvie,Liberal
42,Alfred-Pellan,42.7,41.7,43.7,0.5,113175,39,39.9,38.2,58.5,2.2,42400,46000,39600,7.4,7.7,7.1,Alfred-Pellan,Quebec,Angelo,Iacono,Liberal
119,Algonquin--Renfrew--Pembroke,44.2,43.1,45.3,0.5,107420,49.6,52.9,46.4,4.9,3.5,42000,51200,35200,9.2,8,10.6,Algonquin—Renfrew—Pembroke,Ontario,Cheryl,Gallant,Conservative
43,Argenteuil--La Petite-Nation,43.5,43.1,43.9,0.2,109205,48.9,50.2,47.6,86.6,3.2,40800,44400,37200,7.9,7.5,8.2,Argenteuil—La Petite-Nation,Quebec,Stéphane,Lauzon,Liberal
120,Aurora--Oak Ridges--Richmond Hill,40.7,39.8,41.5,0.3,117750,34.1,34.7,33.5,0.7,8.2,40400,46000,36400,12.5,11.1,14,Aurora—Oak Ridges—Richmond Hill,Ontario,Costas,Menegakis,Conservative
3,Avalon,44.7,44.1,45.3,0,81735,44.7,45,44.4,0.2,3.2,38800,44800,34000,14.3,17,11.5,Avalon,Newfoundland and Labrador,Paul,Connors,Liberal
122,Barrie--Springwater--Oro-Medonte,42.2,41,43.3,0.5,115490,44.9,48.1,41.9,1.6,5.5,41600,47600,37200,12.1,10.2,14.3,Barrie South—Innisfil,Ontario,John,Brassard,Conservative
121,Barrie South--Innisfil,39.7,38.7,40.6,0.3,120380,47.7,50,45.4,1.5,6.9,42800,51200,37200,11.9,10.1,13.8,Barrie—Springwater—Oro-Medonte,Ontario,Doug,Shipley,Conservative
272,Battle River--Crowfoot,42.7,42,43.5,0.5,110215,52.7,54.8,50.7,1,8.8,41200,49600,35200,9.1,9.4,8.8,Battle River—Crowfoot,Alberta,Pierre,Poilievre,Conservative
256,Battlefords--Lloydminster--Meadow Lake,38.5,38,39.1,0.4,83255,57.3,62.3,52.4,0.9,7.1,39600,43200,36400,10.2,11.2,9,Battlefords—Lloydminster—Meadow Lake,Saskatchewan,Rosemarie,Falk,Conservative
123,Bay of Quinte,45.9,44.6,47.2,0.6,110155,49.3,52.4,46.4,2.4,4.7,38800,44000,34800,11.3,9.8,13,Bay of Quinte,Ontario,Chris,Malette,Liberal
124,Beaches--East York,40.8,39.8,41.7,3.1,109355,35.2,37.4,33.1,1.8,7.4,44000,46800,42000,13.4,13.3,13.6,Beaches—East York,Ontario,Nathaniel,Erskine-Smith,Liberal
44,Beauce,43,42.3,43.6,0.5,111035,46.4,47.9,45,97.2,0.8,40800,45600,35200,5,4.3,5.8,Beauce,Quebec,Jason,Groleau,Conservative
45,Beauharnois--Salaberry--Soulanges--Huntingdon,43.4,42.6,44.2,0.6,118475,47.7,49.2,46.2,86.5,1.7,40400,45600,35600,5.8,6.2,5.5,Beauharnois—Salaberry—Soulanges—Huntingdon,Quebec,Claude,DeBellefeuille,Bloc Québécois
46,Beauport--Limoilou,44.3,42.8,45.7,1.7,113660,38.5,37.5,39.6,91.9,1.6,40400,43200,37600,7.7,8.1,7.4,Beauport—Limoilou,Quebec,Steeve,Lavoie,Liberal
29,Beauséjour,45.6,45,46.3,0.2,88560,47.3,50.8,44,58.4,2.9,39600,43200,36400,10.3,11.7,8.8,Beauséjour,New Brunswick,Dominic,LeBlanc,Liberal
47,Bécancour--Nicolet--Saurel--Alnôbak,46.6,45.5,47.7,0.7,96435,44.8,45.3,44.3,96.8,0.8,38000,43600,32800,5.9,6.2,5.7,Bécancour—Nicolet—Saurel—Alnôbak,Quebec,Louis,Plamondon,Bloc Québécois
48,Bellechasse--Les Etchemins--Lévis,45.1,44,46.2,0.6,111740,39.2,39.4,39,96.3,1.8,42800,47200,38400,5.8,5.3,6.4,Bellechasse—Les Etchemins—Lévis,Quebec,Dominique,Vien,Conservative
49,Beloeil--Chambly,41.5,40.6,42.3,1,114555,36.1,38,34.3,90.9,1.6,48800,55600,42800,4.8,4.9,4.8,Beloeil—Chambly,Quebec,Yves-François,Blanchet,Bloc Québécois
50,Berthier--Maskinongé,45.5,45.1,45.9,0.4,108640,48.6,48.9,48.3,96.8,1.9,37600,42800,32800,6.1,6.5,5.7,Berthier—Maskinongé,Quebec,Yves,Perron,Bloc Québécois
